Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Mean,Bwd Packet Length Mean,SYN Flag Count,ACK Flag Count,RST Flag Count,PSH Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Subflow Fwd Packets,Subflow Bwd Packets,Idle Mean,Active Mean,USB_Insert_Flag,External_Device_IO_Rate,SCADA_Command_Rate,Label
2026-05-02T08:00:01Z,1250000,48,52,6144,4096,892.4,12.5,128.0,78.8,2,45,1,3,0,0.92,105.2,24,26,450000.0,820000.0,0,0.12,4.2,Benign
2026-05-02T08:00:15Z,2100000,62,58,8192,5120,654.1,8.9,132.1,88.3,1,52,0,2,0,1.07,108.5,31,29,900000.0,1200000.0,0,0.08,5.1,Benign
2026-05-02T08:01:02Z,980000,35,41,4096,3072,412.7,9.2,117.0,75.0,0,38,0,1,0,0.85,94.3,18,20,320000.0,660000.0,0,0.05,3.8,Benign
2026-05-02T08:02:30Z,3400000,71,64,10240,7168,523.8,7.4,144.2,112.0,3,61,2,4,0,1.11,128.6,35,32,1200000.0,2200000.0,0,0.15,6.0,Benign
2026-05-02T08:05:00Z,1800000,55,49,7168,5120,689.2,10.1,130.3,104.5,2,48,1,2,0,1.12,118.4,28,25,700000.0,1100000.0,0,0.09,4.9,Benign
2026-05-02T08:07:22Z,890000,42,38,5120,4096,398.6,11.3,121.9,107.7,1,41,0,3,0,1.11,115.2,21,19,280000.0,610000.0,0,0.06,4.1,Benign
2026-05-02T08:10:44Z,2650000,68,72,9216,8192,712.5,8.0,135.5,113.8,4,58,3,5,0,0.94,131.1,34,36,950000.0,1700000.0,0,0.11,5.5,Benign
2026-05-02T08:14:10Z,1500000,51,47,6144,6144,556.0,9.8,120.5,130.7,2,44,1,2,0,1.09,125.8,26,24,500000.0,1000000.0,0,0.07,4.6,Benign
2026-05-02T08:18:33Z,420000,188,156,28672,24576,12450.8,82.1,152.5,157.5,14,62,4,18,2,1.20,154.2,94,82,12000.0,380000.0,1,24.8,12.4,OT_USB_Initial
2026-05-02T08:18:41Z,310000,220,198,35840,30720,21560.4,135.2,162.9,155.1,18,71,6,22,3,1.11,158.7,110,99,8000.0,290000.0,1,31.2,9.8,OT_USB_Initial
2026-05-02T08:18:52Z,275000,245,210,40960,28672,25230.5,165.0,167.2,136.5,22,68,8,26,4,1.17,162.3,122,105,5000.0,255000.0,1,28.9,8.2,OT_USB_Initial
2026-05-02T08:19:05Z,198000,198,176,32768,24576,28910.2,188.4,165.5,139.6,25,75,9,28,5,1.12,155.9,99,88,3000.0,188000.0,1,35.1,7.5,OT_USB_Initial
2026-05-02T08:19:18Z,356000,175,162,28672,22528,14880.6,94.6,163.8,139.1,16,64,5,19,2,1.08,151.4,87,81,15000.0,320000.0,1,22.4,11.0,OT_USB_Initial
2026-05-02T08:19:31Z,289000,205,188,33792,26624,19890.3,135.8,164.8,141.6,20,69,7,24,3,1.09,159.2,102,94,9000.0,265000.0,1,26.7,9.1,OT_USB_Initial
2026-05-02T08:19:44Z,412000,168,154,26624,20480,11240.5,78.2,158.5,133.0,12,58,4,16,1,1.09,147.8,84,77,22000.0,370000.0,1,19.8,13.2,OT_USB_Initial
2026-05-02T08:20:01Z,225000,232,205,38912,28672,29880.7,194.2,167.7,139.9,24,73,8,29,5,1.13,156.5,116,103,4000.0,210000.0,1,29.5,8.4,OT_USB_Initial
2026-05-02T08:20:15Z,267000,191,178,30720,24576,20560.4,138.6,160.8,138.1,19,66,6,21,3,1.07,148.9,95,89,11000.0,248000.0,1,24.1,10.6,OT_USB_Initial
2026-05-02T08:20:28Z,305000,184,169,29696,23552,17650.2,115.7,161.4,139.4,17,63,5,20,2,1.09,150.2,92,85,14000.0,285000.0,1,21.6,11.8,OT_USB_Initial
2026-05-02T08:22:10Z,125000,412,388,49152,45056,75200.5,640.0,119.3,116.1,42,120,18,35,6,1.06,224.5,206,194,500.0,118000.0,0,2.1,6.2,OT_Worm_Propagation
2026-05-02T08:22:11Z,98000,498,445,57344,49152,105800.2,960.2,115.1,110.5,55,135,24,42,8,1.12,235.8,249,223,400.0,92000.0,0,1.8,5.9,OT_Worm_Propagation
2026-05-02T08:22:13Z,87000,520,480,61440,53248,118900.4,1150.6,118.2,111.0,58,142,26,45,9,1.08,242.1,260,240,350.0,82000.0,0,1.6,5.5,OT_Worm_Propagation
2026-05-02T08:22:15Z,76000,445,402,53248,45056,98500.3,1170.5,119.7,112.1,48,128,22,38,7,1.11,228.4,222,201,300.0,71000.0,0,1.9,6.0,OT_Worm_Propagation
2026-05-02T08:22:18Z,112000,380,356,45056,38912,74200.8,655.4,118.6,109.3,38,112,16,32,5,1.07,215.6,190,178,800.0,105000.0,0,2.2,6.8,OT_Worm_Propagation
2026-05-02T08:22:22Z,95000,465,421,55296,47104,101200.6,935.8,118.9,111.9,52,130,23,40,8,1.10,238.2,232,210,450.0,89000.0,0,1.7,5.7,OT_Worm_Propagation
2026-05-02T08:22:25Z,68000,510,468,59392,51200,125400.1,1430.9,116.5,109.4,60,138,28,46,10,1.09,248.5,255,234,280.0,64000.0,0,1.5,5.2,OT_Worm_Propagation
2026-05-02T08:22:28Z,142000,335,312,38912,33792,51200.4,455.0,116.2,108.2,35,98,14,28,4,1.07,198.3,167,156,1200.0,134000.0,0,2.4,7.1,OT_Worm_Propagation
2026-05-02T08:22:31Z,88000,488,452,58368,50176,108600.7,1065.9,119.6,111.0,54,133,25,41,8,1.08,241.0,244,226,420.0,83000.0,0,1.8,5.6,OT_Worm_Propagation
2026-05-02T08:22:35Z,102000,402,378,47104,40960,86200.5,765.7,117.2,108.4,41,118,19,34,6,1.06,225.9,201,189,600.0,97000.0,0,2.0,6.4,OT_Worm_Propagation
2026-05-02T08:22:40Z,79000,525,490,62400,54240,119500.2,1284.8,118.9,110.7,59,140,27,44,9,1.07,251.2,262,245,380.0,75000.0,0,1.6,5.3,OT_Worm_Propagation
2026-05-02T08:22:44Z,115000,358,330,43008,35840,68800.3,598.3,120.1,108.6,33,105,15,30,5,1.08,208.7,179,165,900.0,109000.0,0,2.3,6.9,OT_Worm_Propagation
2026-05-02T08:22:48Z,72000,502,465,59904,52224,122800.9,1342.4,119.3,112.4,57,136,26,43,9,1.08,246.8,251,233,320.0,68000.0,0,1.5,5.1,OT_Worm_Propagation
2026-05-02T08:22:52Z,99000,428,395,50176,44096,91800.6,830.3,117.2,111.6,44,122,20,36,7,1.08,232.5,214,198,550.0,92000.0,0,1.9,5.8,OT_Worm_Propagation
2026-05-02T08:22:56Z,86000,475,438,56320,48128,104200.4,1060.5,118.6,109.9,51,129,24,39,8,1.08,239.1,237,219,480.0,80000.0,0,1.7,5.5,OT_Worm_Propagation
2026-05-02T08:23:00Z,108000,392,365,46080,39936,79200.2,705.6,117.6,109.4,39,115,17,33,6,1.07,221.4,196,183,700.0,102000.0,0,2.1,6.5,OT_Worm_Propagation
2026-05-02T08:23:05Z,74000,518,478,61440,53248,121600.8,1346.0,118.6,111.4,58,141,27,45,10,1.08,249.5,259,239,360.0,69000.0,0,1.5,5.0,OT_Worm_Propagation
2026-05-02T08:23:10Z,132000,348,322,41984,34816,57800.5,505.3,120.6,108.1,32,102,14,29,4,1.08,204.2,174,161,1100.0,125000.0,0,2.5,7.2,OT_Worm_Propagation
2026-05-02T08:23:15Z,91000,458,424,55296,47104,99800.7,972.5,120.7,111.1,49,127,22,37,7,1.08,236.4,229,212,500.0,85000.0,0,1.8,5.6,OT_Worm_Propagation
2026-05-02T08:25:00Z,4800000,120,95,15360,12288,5820.4,8.9,128.0,129.3,6,88,2,42,1,1.26,129.4,60,48,2100000.0,2700000.0,0,0.45,8.5,OT_Backdoor_C2
2026-05-02T08:30:00Z,4950000,118,98,14848,12800,5610.2,8.7,125.8,130.6,5,90,1,44,1,1.20,127.1,59,49,2200000.0,2750000.0,0,0.42,8.2,OT_Backdoor_C2
2026-05-02T08:35:00Z,5100000,122,101,15616,13312,5755.8,8.8,128.0,131.8,7,91,2,45,2,1.21,128.9,61,51,2300000.0,2800000.0,0,0.44,8.6,OT_Backdoor_C2
2026-05-02T08:40:00Z,5020000,119,97,15104,12544,5688.1,8.6,126.9,129.3,6,89,1,43,1,1.23,127.5,60,48,2250000.0,2770000.0,0,0.43,8.4,OT_Backdoor_C2
2026-05-02T08:45:00Z,5180000,124,102,15872,13568,5812.6,9.0,128.0,132.9,8,92,2,46,2,1.22,129.8,62,51,2320000.0,2860000.0,0,0.46,8.7,OT_Backdoor_C2
2026-05-02T08:50:00Z,5050000,121,99,15488,12672,5702.3,8.7,128.0,128.0,6,90,2,44,1,1.22,128.2,60,50,2280000.0,2770000.0,0,0.44,8.5,OT_Backdoor_C2
2026-05-02T08:55:00Z,5220000,125,103,16000,13696,5840.5,9.1,128.0,133.0,8,93,2,47,2,1.21,130.1,63,52,2350000.0,2870000.0,0,0.47,8.8,OT_Backdoor_C2
2026-05-02T09:00:00Z,4980000,117,96,14720,12416,5595.2,8.5,125.8,129.3,5,87,1,41,1,1.22,126.4,58,48,2180000.0,2800000.0,0,0.41,8.1,OT_Backdoor_C2
2026-05-02T09:05:00Z,5120000,123,100,15744,13184,5788.9,8.9,128.0,131.8,7,91,2,45,2,1.23,129.2,61,50,2290000.0,2830000.0,0,0.45,8.6,OT_Backdoor_C2
2026-05-02T09:10:00Z,5080000,120,98,15232,12736,5720.6,8.8,126.9,130.0,6,89,1,44,1,1.22,128.0,60,49,2260000.0,2820000.0,0,0.44,8.5,OT_Backdoor_C2
